no_of_leaves alpha,L alpha,GE alpha,avgECC alpha,radius alpha,diameter alpha,no_of_leaves beta,L beta,GE beta,avgECC beta,radius beta,diameter beta,no_of_leaves delta,L delta,GE delta,avgECC delta,radius delta,diameter delta,no_of_leaves gamma,L gamma,GE gamma,avgECC gamma,radius gamma,diameter gamma,no_of_leaves theta,L theta,GE theta,avgECC theta,radius theta,diameter theta,Class
96,5.7232,0.21187,10.128,7,13,94,6.496,0.19849,12.068,8,16,95,6.106,0.19918,10.574,7,14,81,8.4116,0.15975,14.986,10,20,86,6.5312,0.19162,12.054,8,16,1
96,8.0465,0.16812,14.493,10,19,88,7.6182,0.16982,14.061,10,19,89,6.6863,0.19981,13.318,9,17,77,8.3419,0.15876,14.851,10,19,100,4.5777,0.24916,7.223,5,9,1
101,5.7129,0.21664,10.365,7,14,83,9.386,0.1493,16.622,11,21,87,8.3548,0.16304,15.986,11,21,84,7.5035,0.16878,12.432,8,16,80,8.6997,0.15795,16.399,11,22,1
84,8.665,0.16223,17.155,12,23,105,5.542,0.21753,9.7162,6,12,91,8.3567,0.16568,15.858,11,21,83,7.9394,0.16801,14.581,10,19,113,4.6062,0.25707,7.8716,5,10,1
84,11.688,0.13346,22.527,15,29,86,10.366,0.1466,19.115,12,23,96,6.3141,0.19712,11.041,7,14,68,9.8604,0.14469,19.601,13,26,94,6.2939,0.20478,11.345,8,15,1
87,7.1354,0.18484,13.318,9,18,85,6.6955,0.18597,12.182,8,16,93,7.7785,0.17242,15.608,11,21,72,7.5461,0.16948,14.507,10,20,95,6.3736,0.20957,13.892,10,19,1
125,5.0451,0.25193,8.8243,6,11,130,3.4313,0.33374,6.2297,4,8,112,5.7137,0.225,9.3716,6,11,103,3.9363,0.31089,7.9662,6,11,128,4.7372,0.25842,7.5541,5,9,1
100,6.2223,0.20962,12.277,9,17,97,6.8996,0.192,12.622,8,16,87,6.8307,0.18803,13.338,9,18,81,8.6591,0.15659,15.527,10,20,92,9.0965,0.16332,17.818,12,24,1
84,10.654,0.13923,19.682,13,25,85,7.3414,0.17578,13.912,10,19,121,5.9848,0.22601,11.115,7,14,75,8.9364,0.15151,17.791,12,23,103,6.1956,0.2041,11.865,8,16,1
83,7.6515,0.17337,15.426,11,21,86,6.4996,0.19879,11.649,8,16,93,6.4212,0.19503,12.291,9,17,108,5.2258,0.23156,9.4392,6,12,107,4.9795,0.24062,8.7365,6,12,1
106,5.6462,0.22181,11.257,8,15,98,6.4911,0.19572,11.588,8,15,105,5.6903,0.24368,14.068,10,19,95,6.7816,0.18939,11.676,8,15,108,4.5791,0.25613,8.7432,6,11,1
91,9.6373,0.1526,16.534,11,21,88,7.4293,0.18083,13.757,9,18,97,7.5152,0.1762,13.926,9,18,92,10.606,0.14625,20.574,13,26,105,6.2011,0.20471,11.601,8,15,1
96,6.3979,0.19077,10.338,7,13,96,7.8173,0.1771,14.784,10,19,119,4.8009,0.24984,8.3851,6,11,100,5.0289,0.23435,9.0068,6,12,102,5.9375,0.20703,10.689,7,14,1
88,7.6064,0.17294,15.689,11,21,88,7.3022,0.17803,14.973,10,19,83,8.0478,0.1647,14.007,9,17,79,10.342,0.14793,19.932,13,25,88,6.3835,0.19412,11.635,8,16,1
87,6.6176,0.18995,12.851,9,17,89,7.0417,0.18544,13.696,9,18,91,7.787,0.17554,15.426,11,21,78,9.8068,0.1466,17.98,12,23,100,7.8878,0.17397,15.223,10,20,1
103,7.6921,0.17544,13.905,9,18,102,4.6759,0.25815,8.5135,6,12,94,9.2881,0.15872,18.291,12,24,79,7.879,0.16773,14.98,10,19,95,6.194,0.2033,10.385,7,13,1
83,7.7176,0.17481,13.926,9,18,84,6.6704,0.18766,11.878,8,16,104,4.9985,0.23343,8.7162,6,12,83,8.1864,0.15834,13.98,9,18,97,6.8938,0.18812,12.642,9,17,1
84,8.8869,0.15594,15.365,10,19,100,5.2049,0.23579,9.5878,7,13,98,7.2333,0.18127,13.365,9,17,75,9.9774,0.14127,17.378,11,22,84,7.1668,0.17812,13.385,9,18,1
82,7.2282,0.17872,14.804,9,18,90,6.9022,0.18795,12.453,8,16,92,5.9239,0.20708,10.48,7,14,81,7.5863,0.17254,13.054,9,17,98,6.2448,0.20275,12.899,9,18,1
95,4.6769,0.25179,8.1824,6,11,88,7.0159,0.1861,15.081,10,20,118,4.6707,0.2565,8.0203,5,10,103,6.2977,0.20405,11.919,8,16,112,4.9064,0.24347,8.2905,5,10,1
108,4.8551,0.25845,8.8514,6,11,93,6.3011,0.19951,11.716,8,15,104,6.0563,0.20704,10.142,7,13,93,5.575,0.22106,12.101,8,16,111,4.976,0.2382,8.5743,6,11,1
93,10.257,0.15206,19.899,13,25,89,7.561,0.17988,16.486,11,22,98,6.0448,0.20313,10.318,7,13,83,10.115,0.14578,19.02,12,24,84,8.8998,0.16344,20.074,14,28,1
95,7.3642,0.17607,13.236,9,17,84,7.0216,0.18306,13.196,9,18,84,7.3619,0.17364,14.108,10,20,73,9.098,0.14832,17.5,12,23,88,6.5217,0.19951,13.791,9,17,1
112,5.5793,0.23144,12.527,8,16,83,8.2627,0.16071,14.743,10,19,89,8.2191,0.16597,15.115,10,19,85,9.0779,0.16155,18.608,12,23,93,6.1497,0.20002,10.149,7,13,1
99,8.2529,0.17081,15.135,10,19,100,7.0722,0.18553,13.682,9,18,119,3.6635,0.30117,5.7905,4,7,81,6.7379,0.19037,12.392,8,16,126,3.5441,0.31606,5.723,4,7,1
85,8.0023,0.16394,13.791,9,18,92,8.0366,0.17632,16.182,11,21,81,7.4623,0.17225,13.628,9,18,90,8.093,0.16416,13.777,9,18,97,7.3029,0.17874,13.088,8,16,1
90,7.4134,0.17764,13.304,9,17,89,6.429,0.19933,12.865,9,18,88,6.8762,0.18177,11.75,8,15,78,7.7004,0.16636,13.98,10,19,93,5.6545,0.22078,10.622,7,14,2
95,7.4282,0.17837,13.25,9,17,88,6.9632,0.18785,12.682,9,17,102,5.7333,0.21971,10.601,7,14,80,8.3772,0.16054,16.128,11,22,83,9.0688,0.1564,17.953,12,24,2
103,5.9533,0.21184,11.669,8,16,106,5.9219,0.21361,11,8,15,86,8.7649,0.16072,16.926,11,22,82,8.1677,0.16275,14.534,10,19,86,11.181,0.14245,20.291,13,25,2
91,8.5352,0.162,15.959,11,21,93,6.4249,0.19423,11.412,8,15,93,7.7646,0.17586,15.405,11,21,97,6.2258,0.19783,9.6959,6,12,89,6.9363,0.19021,13.608,9,17,2
91,7.1799,0.19556,15.149,10,20,105,6.8907,0.19927,13.385,9,17,82,9.5769,0.15177,20.014,13,26,86,8.5657,0.16145,15.304,10,20,101,5.8724,0.20824,10.615,7,13,2
86,7.9785,0.17258,15.007,10,20,74,7.4072,0.16929,13.392,9,17,90,7.2316,0.18098,12.318,8,16,79,9.8722,0.14449,19.068,13,25,103,7.2295,0.18967,14.27,9,18,2
100,6.9937,0.18901,13.358,9,18,89,7.1745,0.18285,12.128,8,16,86,7.1292,0.17846,13.345,9,18,88,7.0413,0.19783,15.459,11,21,87,5.7342,0.22291,11.581,8,15,2
95,5.1184,0.23437,8.723,6,12,88,8.9323,0.15793,17.142,11,22,102,8.4257,0.17451,17.595,12,23,77,8.0822,0.16315,16.554,11,22,94,5.9382,0.21647,11.338,8,15,2
77,7.6045,0.17706,16.601,11,21,92,8.029,0.16464,14.547,10,19,91,6.9854,0.18351,12.27,8,16,85,8.9278,0.15959,16.426,11,22,85,9.8867,0.15118,18.912,12,24,2
95,7.2065,0.1848,13.993,10,19,81,9.9751,0.14712,21.088,15,29,92,6.2013,0.20739,12.122,9,17,84,10.243,0.14649,19.318,12,24,90,8.2658,0.16468,15.662,11,21,2
93,8.2067,0.16725,15.446,10,20,116,5.967,0.22749,12.182,8,16,92,6.8277,0.19354,13.027,9,17,73,8.4515,0.15512,15.277,10,20,86,7.0055,0.18406,13.649,9,18,2
97,6.4627,0.19858,12.568,9,17,81,9.8716,0.15188,20.257,13,26,86,8.7118,0.16012,16.581,10,20,81,5.6802,0.21524,10.865,8,15,92,7.3384,0.182,14.466,10,19,2
79,9.8476,0.14448,17.588,11,22,88,7.6859,0.17107,14.473,9,18,95,6.5037,0.19907,13.318,9,17,77,10.182,0.14216,19.209,13,25,79,9.2747,0.15162,16.554,11,21,2
83,10.612,0.14163,20.095,13,26,120,4.0135,0.29373,8.0135,6,11,97,6.1396,0.20175,10.142,7,13,87,7.4069,0.1748,12.405,8,16,94,8.7595,0.16623,19.095,13,25,2
105,4.6663,0.25581,9.1689,6,12,86,8.6879,0.15737,16.446,11,22,112,5.0389,0.24412,9.1216,6,12,84,7.8535,0.16669,15.23,11,21,104,6.5063,0.19442,11.209,7,14,2
85,5.5673,0.21635,9.8108,7,13,98,4.0617,0.28882,8.0743,6,11,93,5.3916,0.22148,9.5743,7,13,90,8.0914,0.16499,14.277,9,18,82,8.6207,0.15693,14.845,10,19,2
86,11.408,0.13731,20.804,13,26,82,8.717,0.16015,16.047,11,21,90,8.1873,0.16324,14.223,9,18,78,9.9389,0.14571,18.682,12,24,87,6.2696,0.19971,11.48,8,16,2
83,10.235,0.14558,18.122,12,23,86,8.2554,0.16404,15.169,10,20,105,7.001,0.19246,13.534,9,18,81,7.3159,0.17608,13.703,9,18,85,8.5315,0.16096,14.574,9,18,2
95,6.5738,0.19323,11.243,7,14,98,6.3645,0.21272,13.514,10,19,94,8.3379,0.16394,15.23,10,19,94,8.2741,0.18765,17.405,11,22,107,4.9911,0.25068,10.574,7,13,3
94,7.8801,0.17383,14.115,9,18,80,9.7469,0.14523,18.095,12,23,100,5.629,0.2202,10.169,7,13,84,7.8276,0.17061,14.959,10,20,84,6.8223,0.18979,14.345,10,19,3
89,8.3095,0.16335,15.885,11,21,92,8.8471,0.16011,16.588,11,21,90,8.2534,0.16592,16.236,11,22,89,8.8324,0.15986,17.311,12,23,94,6.2138,0.20155,10.885,7,14,3
99,6.4601,0.19482,10.655,7,14,90,8.7159,0.16395,15.595,10,19,89,6.2405,0.20689,12.885,9,17,75,8.5091,0.15937,16.905,12,23,100,5.4246,0.21825,9.75,7,13,3
100,5.3507,0.22424,9.1554,6,12,84,6.7872,0.19309,14.182,9,18,117,3.3844,0.34179,6.7027,5,9,79,9.5289,0.14876,17.473,12,23,110,3.5039,0.33879,9.5743,7,13,3
96,6.586,0.20852,13.014,9,17,111,4.7673,0.26046,9.7432,6,12,92,7.0001,0.18528,12.973,9,17,80,8.1129,0.16588,15.372,10,20,99,5.8824,0.21049,10.608,7,14,3
97,9.0013,0.15785,15.338,10,19,84,7.2938,0.17488,12.899,9,17,95,5.0236,0.23255,8.3919,6,11,79,10.612,0.1401,19.75,13,25,90,8.1453,0.17423,17.682,12,24,3
91,8.6536,0.16017,16.135,11,21,87,9.9456,0.15475,21.054,14,27,109,5.465,0.23198,11.074,7,14,100,8.0263,0.18995,14.304,9,17,95,7.6212,0.17839,14.169,9,18,3
90,7.3203,0.17921,12.02,8,15,97,8.1622,0.17308,16.061,11,21,106,5.9445,0.21665,10.486,7,13,83,8.1516,0.16312,14.351,9,18,86,9.0059,0.16307,17.824,12,23,3
75,7.2621,0.17404,13.101,9,18,83,6.7921,0.18351,11.669,8,15,92,7.3694,0.18063,13.608,9,17,82,7.2718,0.17509,13.264,9,17,76,8.2697,0.16164,15.432,10,20,3
86,9.1589,0.15397,17.25,12,23,109,5.4826,0.22544,9.3311,6,12,89,6.4505,0.19316,11.459,8,15,93,7.9825,0.16792,15.034,10,19,82,9.3787,0.15269,17.149,11,22,3
88,6.8774,0.18572,12.703,9,17,92,8.5184,0.16436,15.709,10,20,92,6.2038,0.2012,11.554,8,16,85,8.9346,0.1564,16.419,11,21,96,8.5268,0.17729,17.068,11,21,3
101,6.4996,0.20745,13.716,10,19,106,6.7174,0.20534,12.764,8,16,103,5.1375,0.23819,9.9527,7,13,77,8.6495,0.15655,15.77,11,21,95,6.8485,0.18831,13.095,9,17,3
92,6.4386,0.19703,11.574,8,15,82,6.7263,0.18922,13.041,9,18,100,5.6823,0.21505,9.9392,7,13,78,8.9667,0.15713,16.973,12,23,89,8.1813,0.16755,14.959,10,19,3
102,7.1882,0.18537,12.149,8,15,77,8.7529,0.15909,17.649,12,24,106,5.5948,0.22425,10.507,7,13,76,7.8888,0.16182,14.284,10,19,126,4.7651,0.25631,8.223,5,10,3
83,8.0936,0.16222,14.453,9,18,107,4.6376,0.2599,8.6689,6,12,97,7.9806,0.17927,16.149,11,22,87,6.3251,0.20721,12.824,9,17,103,7.095,0.18732,13.507,9,17,3
92,7.5398,0.17439,12.216,8,15,92,7.2394,0.18294,15.486,10,20,97,6.8033,0.18957,11.919,8,15,81,8.832,0.15396,15.297,10,20,90,7.6755,0.1711,12.797,8,16,3
84,9.9383,0.14757,19.108,12,24,114,5.7519,0.21802,10.682,7,14,82,11.793,0.13388,23.27,15,30,81,7.7134,0.16885,14.676,10,19,88,9.8286,0.1461,16.946,11,21,3
89,9.1037,0.15867,18.061,12,23,94,6.4165,0.20066,12.378,9,17,97,8.093,0.17642,16.73,11,21,98,5.0212,0.25724,11.446,8,16,92,8.1002,0.16678,13.993,9,18,3
97,7.0813,0.1888,13.608,9,18,91,5.1145,0.23217,9.7568,7,13,98,5.22,0.23319,9.7297,7,13,79,7.5283,0.17306,14.514,10,20,121,3.5882,0.32306,7.2432,5,10,3
100,6.0642,0.20325,10.628,7,14,90,7.4809,0.17195,12.993,9,17,100,7.3238,0.18104,13.527,9,18,80,9.4594,0.15055,17.372,11,22,96,7.7257,0.17343,13.838,9,18,3
92,6.13,0.20939,14.054,9,18,87,6.2691,0.20172,13.196,9,18,103,7.2037,0.19498,14.939,11,21,81,8.1514,0.16252,15.541,10,20,91,7.2739,0.18157,14.318,10,19,3
90,7.048,0.18471,13.176,9,17,93,7.1263,0.18457,13.385,9,18,112,5.6645,0.22472,10.392,7,14,80,7.3965,0.17227,13.122,9,17,96,6.9028,0.191,14.162,9,18,3
106,5.555,0.22081,9.2703,6,12,87,7.5794,0.17446,13.966,10,19,116,4.4813,0.26717,7.9392,5,10,98,6.6307,0.19403,12.581,9,17,103,5.9397,0.21003,10.73,7,14,3
91,7.5909,0.17749,14.007,9,18,97,5.2266,0.25178,10.622,8,15,97,7.2044,0.18586,13.669,9,18,85,7.153,0.18062,13.142,9,17,94,7.1045,0.18388,13.52,9,18,3
103,5.7862,0.21486,10.581,7,14,90,9.409,0.16295,18.101,12,23,95,7.7285,0.16909,13.345,9,17,88,7.2146,0.18379,15.473,10,20,92,6.9955,0.19114,12.142,8,16,3
89,9.0366,0.15641,16.635,11,21,77,7.9235,0.16698,14.493,10,19,107,5.6046,0.22239,10.838,8,15,72,8.4964,0.15646,15.439,10,20,87,9.1971,0.15118,16.101,10,20,3
86,7.9501,0.17068,13.757,9,17,95,7.6486,0.17237,12.824,8,16,95,7.3352,0.1773,12.507,8,16,93,4.8586,0.25099,11.615,8,16,96,6.7229,0.19356,13.878,10,19,3
104,5.0597,0.24432,10.851,7,14,84,6.7064,0.18435,11.378,8,15,96,6.1791,0.20543,11.534,8,16,77,9.7342,0.14587,17.878,12,23,92,7.0802,0.18069,12.905,9,17,3
102,6.8229,0.19426,12.764,9,17,85,8.6255,0.16168,16.939,11,22,108,6.0303,0.2177,11.784,8,15,90,9.1319,0.16528,18.25,12,24,106,5.6777,0.21918,9.3649,6,12,3
97,5.6695,0.22195,11.041,8,15,94,8.4226,0.16595,16.095,11,21,117,5.3813,0.25438,13.095,8,16,80,7.2859,0.1778,12.75,8,16,107,4.9521,0.24293,9.4257,7,13,3
97,6.1066,0.20468,12.142,8,16,104,6.3591,0.19781,10.48,7,13,81,9.3656,0.15105,17.432,12,23,86,7.676,0.16949,13.385,9,17,90,6.4274,0.1945,11.473,8,15,3
106,6.1108,0.20814,11.399,8,15,111,5.4336,0.22324,9.3581,6,12,100,7.8759,0.17225,14.358,9,18,73,8.0747,0.16244,14.014,9,18,88,9.5263,0.15053,18.419,12,24,3
89,8.2319,0.16628,15.493,11,21,108,5.9261,0.20706,10.5,7,13,89,7.8574,0.17125,15.135,10,20,72,9.0034,0.15029,15.791,10,20,95,7.79,0.17716,14.574,10,19,3
83,8.0765,0.17741,17.236,12,23,96,7.0081,0.18467,12.831,9,17,91,8.272,0.16731,15.52,10,20,80,6.2798,0.19093,10.142,7,13,87,8.4598,0.16105,16.007,11,21,3
108,5.8887,0.20883,10.061,7,13,91,8.8726,0.16071,16.473,11,21,94,8.7665,0.1635,17.554,12,23,83,8.3309,0.16163,15.635,11,21,114,4.2026,0.27675,8.1486,6,11,3
